datetime,Living room,Bedroom,Bathroom,Kitchen,Hallway
2019-11-01 02:52:55.271086300+00:00,,0.0,,,
2019-11-01 03:19:57.417067700+00:00,,1.0,,,
2019-11-01 03:21:53.257070700+00:00,,0.0,,,
2019-11-01 05:11:08.874031+00:00,,1.0,,,
2019-11-01 05:12:38.437033500+00:00,,0.0,,,
2019-11-01 05:14:15.993041400+00:00,,1.0,,,
2019-11-01 05:15:16.193075900+00:00,,0.0,,,
2019-11-01 05:19:56.796071400+00:00,,1.0,,,
2019-11-01 05:21:16.204047100+00:00,,0.0,,,
2019-11-01 06:42:17.866021800+00:00,,1.0,,,
2019-11-01 06:44:19.423095700+00:00,,0.0,,,
2019-11-01 06:44:40.501085400+00:00,,,,,0.0
2019-11-01 06:44:46.413047100+00:00,0.0,,,,
2019-11-01 06:45:48.408012100+00:00,,,0.0,,
2019-11-01 06:46:17.569052900+00:00,,,1.0,,
2019-11-01 07:00:15.210071600+00:00,,,0.0,,
2019-11-01 07:00:17.501032300+00:00,,,1.0,,
2019-11-01 07:04:21.062036200+00:00,,,0.0,,
2019-11-01 07:12:34.973078200+00:00,,,,,1.0
2019-11-01 07:12:39.065045400+00:00,1.0,,,,
2019-11-01 07:12:39.442017800+00:00,,1.0,,,
2019-11-01 07:13:40.446027800+00:00,0.0,,,,
2019-11-01 07:13:41.397048700+00:00,,0.0,,,
2019-11-01 07:14:05.187063600+00:00,1.0,,,,
2019-11-01 07:14:05.633024200+00:00,,1.0,,,
2019-11-01 07:15:01.472071400+00:00,,,,,0.0
2019-11-01 07:15:06.391040+00:00,,0.0,,,
2019-11-01 07:15:06.711054+00:00,,,,,1.0
2019-11-01 07:15:10.238058800+00:00,,1.0,,,
2019-11-01 07:16:07.751083200+00:00,,,,,0.0
2019-11-01 07:16:11.142072800+00:00,,0.0,,,
2019-11-01 07:16:40.416001600+00:00,0.0,,,,
2019-11-01 07:20:52.712057800+00:00,1.0,,,,
2019-11-01 07:20:57.146056500+00:00,,,,,1.0
2019-11-01 07:21:54.679077500+00:00,0.0,,,,
2019-11-01 07:21:57.453068600+00:00,,,,,0.0
2019-11-01 08:37:06.403038800+00:00,,,,,1.0
2019-11-01 08:37:11.092019200+00:00,1.0,,,,
2019-11-01 08:38:07.677097600+00:00,,,,,0.0
2019-11-01 08:38:12.633020400+00:00,0.0,,,,
2019-11-01 08:44:36.636009400+00:00,,,,0.0,
2019-11-01 08:48:17.034095100+00:00,1.0,,,,
2019-11-01 08:49:01.663023500+00:00,,,,1.0,
2019-11-01 08:49:49.632008600+00:00,0.0,,,,
2019-11-01 08:49:57.991032400+00:00,1.0,,,,
2019-11-01 08:50:08.084076600+00:00,,,,,1.0
2019-11-01 08:50:12.145028400+00:00,,,1.0,,
2019-11-01 08:50:59.344005200+00:00,0.0,,,,
2019-11-01 08:51:08.622022100+00:00,,,,,0.0
2019-11-01 08:51:40.245081600+00:00,,,0.0,,
2019-11-01 08:53:02.586002500+00:00,,,,0.0,
2019-11-01 08:53:08.854081500+00:00,,,1.0,,
2019-11-01 08:54:38.218017500+00:00,,,0.0,,
2019-11-01 08:55:10.623022100+00:00,,,1.0,,
2019-11-01 08:56:10.976030700+00:00,,,0.0,,
2019-11-01 08:56:57.705035+00:00,,,1.0,,
2019-11-01 08:57:48.958010500+00:00,,,,,1.0
2019-11-01 08:59:15.202018400+00:00,1.0,,,,
2019-11-01 09:00:16.647070500+00:00,0.0,,,,
2019-11-01 09:00:26.367041600+00:00,,,,,0.0
2019-11-01 09:00:54.474086500+00:00,,,,,1.0
2019-11-01 09:01:54.695048800+00:00,1.0,,,,
2019-11-01 09:02:46.205063300+00:00,,,0.0,,
2019-11-01 09:02:47.595081100+00:00,,,,,0.0
2019-11-01 09:02:56.588033800+00:00,0.0,,,,
2019-11-01 09:03:54.275032+00:00,1.0,,,,
2019-11-01 09:03:59.006081800+00:00,,,1.0,,
2019-11-01 09:03:59.062077600+00:00,,,,,1.0
2019-11-01 09:04:01.256001300+00:00,,1.0,,,
2019-11-01 09:04:55.601030600+00:00,0.0,,,,
2019-11-01 09:04:59.428095300+00:00,,,,,0.0
2019-11-01 09:05:00.430077800+00:00,,,0.0,,
2019-11-01 09:07:05.880088300+00:00,,,,,1.0
2019-11-01 09:07:23.419011600+00:00,1.0,,,,
2019-11-01 09:08:03.351017800+00:00,,0.0,,,
2019-11-01 09:08:06.336012800+00:00,,,,,0.0
2019-11-01 09:08:25.342039300+00:00,0.0,,,,
2019-11-01 09:58:23.485007600+00:00,,,,1.0,
2019-11-01 10:14:18.717006100+00:00,1.0,,,,
2019-11-01 10:14:32.987038500+00:00,,,1.0,,
2019-11-01 10:14:33.198044200+00:00,,,,,1.0
2019-11-01 10:15:33.565056500+00:00,,,,,0.0
2019-11-01 10:15:59.213053500+00:00,,,0.0,,
2019-11-01 10:16:01.734034100+00:00,0.0,,,,
2019-11-01 10:17:25.282049400+00:00,,,,0.0,
2019-11-01 10:19:54.072020100+00:00,,,,1.0,
2019-11-01 10:25:43.533027800+00:00,,,,0.0,
2019-11-01 10:41:19.364019+00:00,,,,1.0,
2019-11-01 10:41:53.476075900+00:00,,,1.0,,
2019-11-01 10:41:54.673086500+00:00,,,,,1.0
2019-11-01 10:42:55.549081100+00:00,,,,,0.0
2019-11-01 10:43:29.935027300+00:00,,,0.0,,
2019-11-01 10:44:37.086032+00:00,,,1.0,,
2019-11-01 10:45:44.524088600+00:00,,,,0.0,
2019-11-01 10:46:49.180018600+00:00,,,,,1.0
2019-11-01 10:46:56.781065600+00:00,1.0,,,,
2019-11-01 10:47:46.086039800+00:00,,,0.0,,
2019-11-01 10:47:49.538052600+00:00,,,,,0.0
2019-11-01 10:47:58.252085800+00:00,0.0,,,,
2019-11-01 11:07:14.585038100+00:00,,,,1.0,
2019-11-01 11:51:25.967048700+00:00,1.0,,,,
2019-11-01 11:51:30.330008400+00:00,,,,,1.0
2019-11-01 11:51:33.614055200+00:00,,,1.0,,
2019-11-01 11:52:27.190069100+00:00,0.0,,,,
2019-11-01 11:52:31.463035+00:00,,,,,0.0
2019-11-01 11:52:33.837099500+00:00,,,0.0,,
2019-11-01 11:52:40.547060900+00:00,,,1.0,,
2019-11-01 11:53:10.920083500+00:00,,,,,1.0
2019-11-01 11:54:36.768037800+00:00,,,0.0,,
2019-11-01 11:54:49.465012400+00:00,,,,,0.0
2019-11-01 11:55:39.889098900+00:00,,,,,1.0
2019-11-01 11:55:46.487088600+00:00,1.0,,,,
2019-11-01 11:56:40.216003500+00:00,,,,,0.0
2019-11-01 11:56:48.429014700+00:00,0.0,,,,
2019-11-01 12:25:44.684061600+00:00,1.0,,,,
2019-11-01 12:25:48.738011600+00:00,,,1.0,,
2019-11-01 12:25:49.283081400+00:00,,,,,1.0
2019-11-01 12:26:46.165049100+00:00,0.0,,,,
2019-11-01 12:26:50.414091500+00:00,,,,,0.0
2019-11-01 12:28:10.325098200+00:00,,,,,1.0
2019-11-01 12:29:28.229038300+00:00,,,0.0,,
2019-11-01 12:29:43.176099500+00:00,,,,,0.0
2019-11-01 15:20:51.492075400+00:00,,,,,1.0
2019-11-01 15:21:01.724052500+00:00,1.0,,,,
2019-11-01 15:21:52.272027800+00:00,,,,,0.0
2019-11-01 15:22:26.040070+00:00,0.0,,,,
2019-11-01 16:01:37.020020400+00:00,1.0,,,,
2019-11-01 16:01:39.512067300+00:00,,,,,1.0
2019-11-01 16:01:41.005062400+00:00,,,1.0,,
2019-11-01 16:02:37.986099700+00:00,0.0,,,,
2019-11-01 16:02:39.964086100+00:00,,,,,0.0
2019-11-01 16:02:43.192097200+00:00,,,0.0,,
2019-11-01 16:16:21.329037200+00:00,,,1.0,,
2019-11-01 16:17:10.200098600+00:00,,,,,1.0
2019-11-01 16:17:14.499085600+00:00,1.0,,,,
2019-11-01 16:18:11.419083300+00:00,,,,,0.0
2019-11-01 16:18:15.504051400+00:00,,,0.0,,
2019-11-01 16:19:03.972068+00:00,0.0,,,,
2019-11-01 16:19:13.629006100+00:00,1.0,,,,
2019-11-01 16:19:35.473093300+00:00,,,,,1.0
2019-11-01 16:20:33.221081400+00:00,0.0,,,,
2019-11-01 16:20:36.176076800+00:00,,,,,0.0
2019-11-01 16:32:17.446091100+00:00,,,,,1.0
2019-11-01 16:32:23.580004+00:00,1.0,,,,
2019-11-01 16:33:17.949040500+00:00,,,,,0.0
2019-11-01 16:33:24.635009100+00:00,,,,,1.0
2019-11-01 16:34:21.435029500+00:00,0.0,,,,
2019-11-01 16:34:24.998083900+00:00,,,,,0.0
2019-11-01 16:34:39.552096300+00:00,,,,,1.0
2019-11-01 16:34:46.994088200+00:00,,,1.0,,
2019-11-01 16:35:39.950087100+00:00,,,,,0.0
2019-11-01 16:36:16.484054200+00:00,,,0.0,,
2019-11-01 16:36:43.885086300+00:00,,,1.0,,
2019-11-01 16:37:14.656005400+00:00,,,,,1.0
2019-11-01 16:38:15.176082700+00:00,,,,,0.0
2019-11-01 16:38:27.974028600+00:00,,,,,1.0
2019-11-01 16:40:06.943062200+00:00,1.0,,,,
2019-11-01 16:41:00.930060100+00:00,,,,,0.0
2019-11-01 16:41:08.213094500+00:00,0.0,,,,
2019-11-01 16:41:08.642027700+00:00,,,0.0,,
2019-11-01 16:50:41.227098900+00:00,,,,0.0,
2019-11-01 19:06:35.520052800+00:00,1.0,,,,
2019-11-01 19:06:40.409055600+00:00,,,,,1.0
2019-11-01 19:06:43.846011500+00:00,,,1.0,,
2019-11-01 19:07:37.124044500+00:00,0.0,,,,
2019-11-01 19:07:40.777071700+00:00,,,,,0.0
2019-11-01 19:09:03.744098900+00:00,,,,,1.0
2019-11-01 19:10:06.709073900+00:00,1.0,,,,
2019-11-01 19:10:45.448022600+00:00,,,0.0,,
2019-11-01 19:10:57.752059+00:00,,,,,0.0
2019-11-01 19:11:32.333014900+00:00,,,,1.0,
2019-11-01 19:11:51.100000700+00:00,0.0,,,,
2019-11-01 19:23:59.090007200+00:00,,,,0.0,
2019-11-01 19:36:24.445086500+00:00,,,,1.0,
2019-11-01 19:41:50.836098400+00:00,,,,0.0,
2019-11-01 20:02:15.203034200+00:00,1.0,,,,
2019-11-01 20:03:17.071085700+00:00,0.0,,,,
2019-11-01 20:45:19.651025100+00:00,1.0,,,,
2019-11-01 20:45:22.912006900+00:00,,,,,1.0
2019-11-01 20:46:20.770089+00:00,0.0,,,,
2019-11-01 20:46:23.671066200+00:00,,,,,0.0
2019-11-01 20:49:54.376077300+00:00,,,,,1.0
2019-11-01 20:50:00.290081400+00:00,1.0,,,,
2019-11-01 20:50:54.938038100+00:00,,,,,0.0
2019-11-01 20:51:01.772014100+00:00,0.0,,,,
2019-11-01 21:28:28.203002800+00:00,1.0,,,,
2019-11-01 21:28:32.494050300+00:00,,,,,1.0
2019-11-01 21:28:36.293036700+00:00,,,1.0,,
2019-11-01 21:29:30.001089+00:00,0.0,,,,
2019-11-01 21:29:32.886033600+00:00,,,,,0.0
2019-11-01 21:29:37.051085+00:00,,,0.0,,
2019-11-01 21:29:53.078008700+00:00,,,1.0,,
2019-11-01 21:30:29.585034700+00:00,,,,,1.0
2019-11-01 21:31:05.160054300+00:00,1.0,,,,
2019-11-01 21:31:05.996028800+00:00,,1.0,,,
2019-11-01 21:32:19.992083200+00:00,,0.0,,,
2019-11-01 21:32:20.621036200+00:00,,,,,0.0
2019-11-01 21:32:24.285054800+00:00,,,0.0,,
2019-11-01 21:32:24.742035100+00:00,0.0,,,,
2019-11-01 21:33:56.160003300+00:00,1.0,,,,
2019-11-01 21:34:45.451084500+00:00,,,1.0,,
2019-11-01 21:34:46.731060800+00:00,,,,,1.0
2019-11-01 21:35:36.002091500+00:00,0.0,,,,
2019-11-01 21:37:52.880002500+00:00,,,,,0.0
2019-11-01 21:38:32.648069400+00:00,,,,,1.0
2019-11-01 21:38:56.970050+00:00,1.0,,,,
2019-11-01 21:38:57.833060+00:00,,1.0,,,
2019-11-01 21:39:59.000067900+00:00,,0.0,,,
2019-11-01 21:40:08.976057100+00:00,0.0,,,,
2019-11-01 21:41:40.629044600+00:00,,,,,0.0
2019-11-01 21:44:44.886081600+00:00,,,,,1.0
2019-11-01 21:45:45.620025+00:00,,,,,0.0
2019-11-01 21:46:11.028098200+00:00,,,0.0,,
2019-11-01 21:46:20.762095400+00:00,,,1.0,,
2019-11-01 21:47:03.184019500+00:00,,,,,1.0
2019-11-01 21:47:09.864014100+00:00,,1.0,,,
2019-11-01 21:47:43.270013600+00:00,,,0.0,,
2019-11-01 21:48:03.626073+00:00,,,,,0.0
2019-11-01 21:49:33.745028700+00:00,,0.0,,,
2019-11-02 00:47:01.702040900+00:00,,1.0,,,
2019-11-02 00:48:02.911008800+00:00,,0.0,,,
2019-11-02 01:32:50.486089400+00:00,,1.0,,,
2019-11-02 01:33:50.647057400+00:00,,0.0,,,
2019-11-02 01:47:13.085056700+00:00,,1.0,,,
2019-11-02 01:48:13.642069800+00:00,,0.0,,,
2019-11-02 03:46:36.549012300+00:00,,1.0,,,
2019-11-02 03:47:05.046050100+00:00,,,,,1.0
2019-11-02 03:47:20.360019200+00:00,,,1.0,,
2019-11-02 03:47:23.156099900+00:00,1.0,,,,
2019-11-02 03:47:55.623072800+00:00,,0.0,,,
2019-11-02 03:48:05.252071200+00:00,,,,,0.0
2019-11-02 03:48:20.811007+00:00,,,0.0,,
2019-11-02 03:48:28.711089300+00:00,0.0,,,,
2019-11-02 03:55:07.228056700+00:00,,,1.0,,
2019-11-02 03:56:13.926014+00:00,,,,,1.0
2019-11-02 03:56:20.484017500+00:00,1.0,,,,
2019-11-02 03:56:21.263084600+00:00,,1.0,,,
2019-11-02 03:56:42.113031700+00:00,,,0.0,,
2019-11-02 03:57:14.576063700+00:00,,,,,0.0
2019-11-02 03:57:21.901077300+00:00,,0.0,,,
2019-11-02 03:57:22.473074600+00:00,0.0,,,,
2019-11-02 05:52:35.963063+00:00,,1.0,,,
2019-11-02 05:54:09.492059200+00:00,,0.0,,,
2019-11-02 06:02:59.427051800+00:00,,1.0,,,
2019-11-02 06:03:59.762040900+00:00,,0.0,,,
2019-11-02 06:42:17.425081300+00:00,,1.0,,,
2019-11-02 06:42:31.176064300+00:00,,,,,1.0
2019-11-02 06:42:36.628088+00:00,1.0,,,,
2019-11-02 06:42:39.596039100+00:00,,,1.0,,
2019-11-02 06:43:31.499053900+00:00,,0.0,,,
2019-11-02 06:43:38.276025900+00:00,0.0,,,,
2019-11-02 06:43:41.628065800+00:00,,,0.0,,
2019-11-02 06:43:44.066098300+00:00,,,,,0.0
2019-11-02 06:44:02.180001+00:00,,,1.0,,
2019-11-02 07:04:33.330093300+00:00,,,0.0,,
2019-11-02 07:04:38.805046400+00:00,,,1.0,,
2019-11-02 07:05:39.624047600+00:00,,,0.0,,
2019-11-02 07:05:42.369064400+00:00,,,1.0,,
2019-11-02 07:06:29.623028200+00:00,,,,,1.0
